"CAM","ID","MIN","MAX","COORD"
-1794,15,479,479,819929905
-1794,16,149,149,819929905
-1794,17,173,173,819929905
-1794,18,207,207,819929905
-1794,19,237,237,819929905
-1794,20,491,491,819929905
-1794,21,465,465,819929905
-1794,22,343,343,819929905
-1794,23,379,379,819929905
-1794,24,183,183,819929905
-1794,25,301,301,819929905
-1779,1,353,353,848429207
-1779,2,307,307,848429207
-1779,3,277,277,848429207
-1779,4,197,197,848429207
-1779,5,389,389,848429207
-1779,6,401,401,848429207
-1779,7,173,173,848429207
-1779,8,561,561,848429207
-1779,9,267,267,848429207
-1779,10,331,331,848429207
-1779,11,353,353,848429207
-1779,12,379,379,848429207
-1779,13,435,435,848429207
-1779,14,473,473,848429207
-1779,15,477,477,848429207
-1779,16,149,149,848429207
-1779,17,175,175,848429207
-1779,18,209,209,848429207
-1779,19,237,237,848429207
-1779,20,493,493,848429207
-1779,21,473,473,848429207
-1779,22,343,343,848429207
-1779,23,381,381,848429207
-1779,24,185,185,848429207
-1779,25,303,303,848429207
-1764,1,353,353,877628510
-1764,2,307,307,877628510
-1764,3,277,277,877628510
-1764,4,197,197,877628510
-1764,5,391,391,877628510
-1764,6,399,399,877628510
-1764,7,173,173,877628510
-1764,8,235,235,877628510
-1764,9,269,269,877628510
-1764,10,333,333,877628510
-1764,11,357,357,877628510
-1764,12,381,381,877628510
-1764,13,437,437,877628510
-1764,14,479,479,877628510
-1764,15,483,483,877628510
-1764,16,149,149,877628510
-1764,17,177,177,877628510
-1764,18,211,211,877628510
-1764,19,241,241,877628510
-1764,20,499,499,877628510
-1764,21,463,463,877628510
-1764,22,345,345,877628510
-1764,23,383,383,877628510
-1764,24,189,189,877628510
-1764,25,305,305,877628510
-1747,1,355,355,909127827
-1747,2,309,309,909127827
-1747,3,279,279,909127827
-1747,4,199,199,909127827
-1747,5,387,387,909127827
-1747,6,401,401,909127827
-1747,7,173,173,909127827
-1747,8,239,239,909127827
-1747,9,271,271,909127827
-1747,10,333,333,909127827
-1747,11,357,357,909127827
-1747,12,381,381,909127827
-1747,13,437,437,909127827
-1747,14,477,477,909127827
-1747,15,481,481,909127827
-1747,16,149,149,909127827
-1747,17,179,179,909127827
-1747,18,213,213,909127827
-1747,19,243,243,909127827
-1747,20,497,497,909127827
-1747,21,475,475,909127827
-1747,22,343,343,909127827
-1747,23,385,385,909127827
-1747,24,191,191,909127827
-1747,25,307,307,909127827
-1731,1,355,355,942127145
-1731,2,309,309,942127145
-1731,3,283,283,942127145
-1731,4,199,199,942127145
-1731,5,393,393,942127145
-1731,6,401,401,942127145
-1731,7,173,173,942127145
-1731,8,239,239,942127145
-1731,9,271,271,942127145
-1731,10,335,335,942127145
-1731,11,359,359,942127145
-1731,12,383,383,942127145
-1731,13,439,439,942127145
-1731,14,479,479,942127145
-1731,15,481,481,942127145
-1731,16,149,149,942127145
-1731,17,179,179,942127145
-1731,18,215,215,942127145
-1731,19,243,243,942127145
-1731,20,499,499,942127145
-1731,21,471,471,942127145
-1731,22,343,343,942127145
-1731,23,387,387,942127145
-1731,24,193,193,942127145
-1731,25,309,309,942127145
-1715,1,355,355,977426477
-1715,2,309,309,977426477
-1715,3,289,289,977426477
-1715,4,201,201,977426477
-1715,5,393,393,977426477
-1715,6,405,405,977426477
-1715,7,173,173,977426477
-1715,8,243,243,977426477
-1715,9,273,273,977426477
-1715,10,337,337,977426477
-1715,11,361,361,977426477
-1715,12,389,389,977426477
-1715,13,441,441,977426477
-1715,14,483,483,977426477
-1715,15,487,487,977426477
-1715,16,151,151,977426477
-1715,17,181,181,977426477
-1715,18,219,219,977426477
-1715,19,249,249,977426477
-1715,20,503,503,977426477
-1715,21,469,469,977426477
-1715,22,341,341,977426477
-1715,23,389,389,977426477
-1715,24,195,195,977426477
-1715,25,311,311,977426477
-1698,1,359,359,1013425817
-1698,2,313,313,1013425817
-1698,3,287,287,1013425817
-1698,4,201,201,1013425817
-1698,5,389,389,1013425817
-1698,6,407,407,1013425817
-1698,7,175,175,1013425817
-1698,8,239,239,1013425817
-1698,9,277,277,1013425817
-1698,10,339,339,1013425817
-1698,11,363,363,1013425817
-1698,12,387,387,1013425817
-1698,13,445,445,1013425817
-1698,14,483,483,1013425817
-1698,15,485,485,1013425817
-1698,16,153,153,1013425817
-1698,17,183,183,1013425817
-1698,18,219,219,1013425817
-1698,19,249,249,1013425817
-1698,20,505,505,1013425817
-1698,21,477,477,1013425817
-1698,22,347,347,1013425817
-1698,23,391,391,1013425817
-1698,24,197,197,1013425817
-1698,25,313,313,1013425817
-1682,1,359,359,1051625165
-1682,2,317,317,1051625165
-1682,3,283,283,1051625165
-1682,4,201,201,1051625165
-1682,5,391,391,1051625165
-1682,6,405,405,1051625165
-1682,7,175,175,1051625165
-1682,8,239,239,1051625165
-1682,9,275,275,1051625165
-1682,10,339,339,1051625165
-1682,11,363,363,1051625165
-1682,12,387,387,1051625165
-1682,13,447,447,1051625165
-1682,14,487,487,1051625165
-1682,15,487,487,1051625165
-1682,16,153,153,1051625165
-1682,17,185,185,1051625165
-1682,18,221,221,1051625165
-1682,19,249,249,1051625165
-1682,20,503,503,1051625165
-1682,21,473,473,1051625165
-1682,22,345,345,1051625165
-1682,23,391,391,1051625165
-1682,24,199,199,1051625165
-1682,25,315,315,1051625165
-1664,1,367,367,1090624527
-1664,2,319,319,1090624527
-1664,3,289,289,1090624527
-1664,4,203,203,1090624527
-1664,5,393,393,1090624527
-1664,6,405,405,1090624527
-1664,7,177,177,1090624527
-1664,8,243,243,1090624527
-1664,9,279,279,1090624527
-1664,10,343,343,1090624527
-1664,11,367,367,1090624527
-1664,12,391,391,1090624527
-1664,13,451,451,1090624527
-1664,14,489,489,1090624527
-1664,15,491,491,1090624527
-1664,16,155,155,1090624527
-1664,17,187,187,1090624527
-1664,18,223,223,1090624527
-1664,19,253,253,1090624527
-1664,20,509,509,1090624527
-1664,21,475,475,1090624527
-1664,22,345,345,1090624527
-1664,23,395,395,1090624527
-1664,24,201,201,1090624527
-1664,25,319,319,1090624527
-1652,1,363,363,1131923890
-1652,2,315,315,1131923890
-1652,3,291,291,1131923890
-1652,4,205,205,1131923890
-1652,5,403,403,1131923890
